latitude,longitude,SPI
5.125,65.125,NaN
5.125,65.375,NaN
5.125,65.625,NaN
5.125,65.875,NaN
5.125,66.125,NaN
5.125,66.375,NaN
5.125,66.625,NaN
5.125,66.875,NaN
5.125,67.125,NaN
5.125,67.375,NaN
5.125,67.625,NaN
5.125,67.875,NaN
5.125,68.125,NaN
5.125,68.375,NaN
5.125,68.625,NaN
5.125,68.875,NaN
5.125,69.125,NaN
5.125,69.375,NaN
5.125,69.625,NaN
5.125,69.875,NaN
5.125,70.125,NaN
5.125,70.375,NaN
5.125,70.625,NaN
5.125,70.875,NaN
5.125,71.125,NaN
5.125,71.375,NaN
5.125,71.625,NaN
5.125,71.875,NaN
5.125,72.125,NaN
5.125,72.375,NaN
5.125,72.625,NaN
5.125,72.875,NaN
5.125,73.125,NaN
5.125,73.375,NaN
5.125,73.625,NaN
5.125,73.875,NaN
5.125,74.125,NaN
5.125,74.375,NaN
5.125,74.625,NaN
5.125,74.875,NaN
5.125,75.125,NaN
5.125,75.375,NaN
5.125,75.625,NaN
5.125,75.875,NaN
5.125,76.125,NaN
5.125,76.375,NaN
5.125,76.625,NaN
5.125,76.875,NaN
5.125,77.125,NaN
5.125,77.375,NaN
5.125,77.625,NaN
5.125,77.875,NaN
5.125,78.125,NaN
5.125,78.375,NaN
5.125,78.625,NaN
5.125,78.875,NaN
5.125,79.125,NaN
5.125,79.375,NaN
5.125,79.625,NaN
5.125,79.875,NaN
5.125,80.125,NaN
5.125,80.375,NaN
5.125,80.625,NaN
5.125,80.875,NaN
5.125,81.125,NaN
5.125,81.375,NaN
5.125,81.625,NaN
5.125,81.875,NaN
5.125,82.125,NaN
5.125,82.375,NaN
5.125,82.625,NaN
5.125,82.875,NaN
5.125,83.125,NaN
5.125,83.375,NaN
5.125,83.625,NaN
5.125,83.875,NaN
5.125,84.125,NaN
5.125,84.375,NaN
5.125,84.625,NaN
5.125,84.875,NaN
5.125,85.125,NaN
5.125,85.375,NaN
5.125,85.625,NaN
5.125,85.875,NaN
5.125,86.125,NaN
5.125,86.375,NaN
5.125,86.625,NaN
5.125,86.875,NaN
5.125,87.125,NaN
5.125,87.375,NaN
5.125,87.625,NaN
5.125,87.875,NaN
5.125,88.125,NaN
5.125,88.375,NaN
5.125,88.625,NaN
5.125,88.875,NaN
5.125,89.125,NaN
5.125,89.375,NaN
5.125,89.625,NaN
5.125,89.875,NaN
5.125,90.125,NaN
5.125,90.375,NaN
5.125,90.625,NaN
5.125,90.875,NaN
5.125,91.125,NaN
5.125,91.375,NaN
5.125,91.625,NaN
5.125,91.875,NaN
5.125,92.125,NaN
5.125,92.375,NaN
5.125,92.625,NaN
5.125,92.875,NaN
5.125,93.125,NaN
5.125,93.375,NaN
5.125,93.625,NaN
5.125,93.875,NaN
5.125,94.125,NaN
5.125,94.375,NaN
5.125,94.625,NaN
5.125,94.875,NaN
5.125,95.125,NaN
5.125,95.375,4.41797781
5.125,95.625,3.419942141
5.125,95.875,3.353973389
5.125,96.125,2.757459641
5.125,96.375,2.633285522
5.125,96.625,3.150294781
5.125,96.875,3.145994902
5.125,97.125,3.491844893
5.125,97.375,3.778386116
5.125,97.625,5.553084373
5.125,97.875,6.770736694
5.125,98.125,NaN
5.125,98.375,NaN
5.125,98.625,NaN
5.125,98.875,NaN
5.125,99.125,NaN
5.125,99.375,NaN
5.125,99.625,NaN
5.125,99.875,NaN
5.125,100.125,NaN
5.125,100.375,5.72796154
5.125,100.625,3.922035933
5.125,100.875,3.949559212
5.375,65.125,NaN
5.375,65.375,NaN
5.375,65.625,NaN
5.375,65.875,NaN
5.375,66.125,NaN
5.375,66.375,NaN
5.375,66.625,NaN
5.375,66.875,NaN
5.375,67.125,NaN
5.375,67.375,NaN
5.375,67.625,NaN
5.375,67.875,NaN
5.375,68.125,NaN
5.375,68.375,NaN
5.375,68.625,NaN
5.375,68.875,NaN
5.375,69.125,NaN
5.375,69.375,NaN
5.375,69.625,NaN
5.375,69.875,NaN
5.375,70.125,NaN
5.375,70.375,NaN
5.375,70.625,NaN
5.375,70.875,NaN
5.375,71.125,NaN
5.375,71.375,NaN
